SNDG	ELIGIBLE_FIN_STAT_COND_1	ELIGIBLE_FIN_STAT_COND_2	ELIGIBLE_FIN_STAT_COND_3	ELIGIBLE_FIN_STAT_COND_4	ELIGIBLE_FIN_STAT_COND_5	ELIGIBLE_FIN_STAT_COND_6	ELIGIBLE_FIN_STAT_COND_7	ELIGIBLE_FIN_STAT_COND_8	ELIGIBLE_FIN_STAT_COND_9	NUM_IND_3	IND_03_	NUM_IND_4	DEN_IND_4	IND_04_	NUM_IND_5	DEN_IND_5	IND_05_	BR3	BR4	BR5	BR000009	BR000001	colore	COLOR_APP
0000000017322144	1	1	1	1	1	1	1	1	1	-76000,000000	-0,029	4445000,000000	19045000,000000	0,233	?	?	?	1	1	0	0	0	?	S01
0000000017853682	1	1	1	1	1	1	1	1	1	100000,000000	0,350	31000,000000	4076000,000000	0,008	?	?	?	1	1	0	0	0	?	S10
0000000024477720	1	1	1	1	1	0	1	1	1	-7000,000000	?	-63000,000000	272000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017549327	1	1	1	1	1	0	1	1	1	39000,000000	?	347000,000000	2939000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000073593520	1	1	1	1	1	1	1	1	1	29000,000000	0,220	516000,000000	4482000,000000	0,115	?	?	?	1	1	0	0	0	?	S01
0000000016718890	1	1	1	1	1	0	1	1	1	1000,000000	?	113000,000000	4264000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017770751	1	1	1	1	1	1	1	1	1	95000,000000	0,044	232000,000000	2841000,000000	0,082	?	?	?	1	1	0	0	0	?	S01
0000000071238011	1	1	1	1	1	0	1	1	1	32000,000000	?	-19000,000000	316000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000066509548	1	1	1	1	1	1	1	1	1	132000,000000	0,028	-978000,000000	6854000,000000	-0,143	?	?	?	1	1	0	0	0	?	S01
0000000017523830	1	1	1	1	1	0	1	1	1	115000,000000	?	260000,000000	2983000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016947228	1	1	1	1	1	0	1	1	1	69000,000000	?	-547000,000000	4169000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017427777	1	1	1	1	1	1	1	1	1	966000,000000	0,610	-128000,000000	3524000,000000	-0,036	?	?	?	0	1	0	0	0	?	S01
0000000088568592	1	1	1	1	1	0	1	1	1	1000,000000	?	2000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000081679751	1	1	1	1	1	0	1	1	1	60000,000000	?	594000,000000	23000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000073456533	1	1	1	1	1	0	0	0	0	3838000,000000	?	1823000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017072803	1	1	1	1	1	0	0	0	0	1081000,000000	?	2423000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017864853	1	1	1	1	1	0	1	1	1	18000,000000	?	66000,000000	12934000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017410510	1	1	1	1	1	0	0	0	0	11000,000000	?	412000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S50
0000000082301237	1	1	1	1	1	0	1	1	1	1000,000000	?	164000,000000	1213000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017073247	1	1	1	1	1	1	1	1	1	27000,000000	0,043	282000,000000	13434000,000000	0,021	?	?	?	1	1	0	0	0	?	S01
0000000016310798	1	1	1	1	1	1	1	1	1	-112000,000000	-2,000	140000,000000	2890000,000000	0,048	?	?	?	1	1	0	0	0	?	S01
0000000016874109	1	1	1	1	1	0	0	0	0	372000,000000	?	571000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017339003	1	1	1	1	1	0	1	1	1	23000,000000	?	-978000,000000	15054000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017424327	1	1	1	1	1	0	1	1	1	28000,000000	?	0,000000	7448000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000090318963	1	1	1	1	1	1	1	1	1	132000,000000	0,102	1125000,000000	3615000,000000	0,311	?	?	?	1	1	0	0	0	?	S01
0000000055084109	1	1	1	1	1	0	1	1	1	-1232000,000000	?	-34740000,000000	45983000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016167986	1	1	1	1	1	1	1	1	1	309000,000000	0,006	-47000,000000	8322000,000000	-0,006	?	?	?	1	1	0	0	0	?	S01
0000000069442458	1	1	1	1	1	1	1	1	1	-252000,000000	-0,166	1079000,000000	11940000,000000	0,090	?	?	?	1	1	0	0	0	?	S01
0000000016767724	1	1	1	1	1	1	1	1	1	-1000,000000	0,000	-48000,000000	890000,000000	-0,054	?	?	?	1	1	0	0	0	?	S01
0000000047291702	1	1	1	1	1	0	1	1	1	-44000,000000	?	-2000,000000	832000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000074509264	1	1	1	1	1	1	1	1	1	12000,000000	0,387	943000,000000	987000,000000	0,955	?	?	?	1	0	0	0	0	?	S01
